Date,Price
2020-01-06,81.28
2020-01-07,81.33
2020-01-08,81.33
2020-01-09,81.4
2020-01-10,81.55
2020-01-11,81.6
2020-01-12,81.49
2020-01-13,81.39
2020-01-14,81.29
2020-01-15,81.29
2020-01-16,81.14
2020-01-17,81.0
2020-01-18,80.85
2020-01-19,80.68
2020-01-20,80.58
2020-01-21,80.42
2020-01-22,80.42
2020-01-23,80.25
2020-01-24,80.03
2020-01-25,79.76
2020-01-26,79.47
2020-01-27,79.32
2020-01-28,79.21
2020-01-29,79.21
2020-01-30,78.97
2020-01-31,78.88
2020-02-01,78.83
2020-02-02,78.75
2020-02-03,78.69
2020-02-04,78.63
2020-02-05,78.63
2020-02-06,78.55
2020-02-07,78.34
2020-02-08,78.11
2020-02-09,77.89
2020-02-10,77.76
2020-02-11,77.6
2020-02-12,77.6
2020-02-13,77.6
2020-02-14,77.6
2020-02-15,77.6
2020-02-16,77.6
2020-02-17,77.6
2020-02-18,77.56
2020-02-19,77.56
2020-02-20,77.56
2020-02-21,77.56
2020-02-22,77.6
2020-02-23,77.67
2020-02-24,77.67
2020-02-25,77.67
2020-02-26,77.67
2020-02-27,77.62
2020-02-28,77.62
2020-02-29,77.56
2020-03-01,77.4
2020-03-02,77.18
2020-03-03,77.13
2020-03-04,77.13
2020-03-05,76.98
2020-03-06,76.83
2020-03-07,76.71
2020-03-08,76.53
2020-03-09,76.29
2020-03-10,75.99
2020-03-11,75.99
2020-03-12,75.84
2020-03-13,75.7
2020-03-14,75.57
2020-03-15,75.46
2020-03-16,75.3
2020-03-17,75.3
2020-03-18,75.3
2020-03-19,75.3
2020-03-20,75.3
2020-03-21,75.3
2020-03-22,75.3
2020-03-23,75.3
2020-03-24,75.3
2020-03-25,75.3
2020-03-26,75.3
2020-03-27,75.3
2020-03-28,75.3
2020-03-29,75.3
2020-03-30,75.3
2020-03-31,75.3
2020-04-01,76.31
2020-04-02,76.31
2020-04-03,76.31
2020-04-04,76.31
2020-04-05,76.31
2020-04-06,76.31
2020-04-07,76.31
2020-04-08,76.31
2020-04-09,76.31
2020-04-10,76.31
2020-04-11,76.31
2020-04-12,76.31
2020-04-13,76.31
2020-04-14,76.31
2020-04-15,76.31
2020-04-16,76.31
2020-04-17,76.31
2020-04-18,76.31
2020-04-19,76.31
2020-04-20,76.31
2020-04-21,76.31
2020-04-22,76.31
2020-04-23,76.31
2020-04-24,76.31
2020-04-25,76.31
2020-04-26,76.31
2020-04-27,76.31
2020-04-28,76.31
2020-04-29,76.31
2020-04-30,76.31
2020-05-01,76.31
2020-05-02,76.31
2020-05-03,76.31
2020-05-04,76.31
2020-05-05,76.31
2020-05-06,76.31
2020-05-07,76.31
2020-05-08,76.31
2020-05-09,76.31
2020-05-10,76.31
2020-05-11,76.31
2020-05-12,76.31
2020-05-13,76.31
2020-05-14,76.31
2020-05-15,76.31
2020-05-16,76.31
2020-05-17,76.31
2020-05-18,76.31
2020-05-19,76.31
2020-05-20,76.31
2020-05-21,76.31
2020-05-22,76.31
2020-05-23,76.31
2020-05-24,76.31
2020-05-25,76.31
2020-05-26,76.31
2020-05-27,76.31
2020-05-28,76.31
2020-05-29,76.31
2020-05-30,76.31
2020-05-31,76.31
2020-06-01,78.32
2020-06-02,78.32
2020-06-03,78.32
2020-06-04,78.32
2020-06-05,78.32
2020-06-06,78.32
2020-06-07,78.91
2020-06-08,79.49
2020-06-09,80.01
2020-06-10,80.4
2020-06-11,80.98
2020-06-12,81.53
2020-06-13,82.1
2020-06-14,82.7
2020-06-15,83.17
2020-06-16,83.62
2020-06-17,84.15
2020-06-18,84.66
2020-06-19,85.21
2020-06-20,85.7
2020-06-21,86.04
2020-06-22,86.36
2020-06-23,86.54
2020-06-24,86.54
2020-06-25,86.7
2020-06-26,86.91
2020-06-27,87.14
2020-06-28,87.14
2020-06-29,87.19
2020-06-30,87.19
2020-07-01,87.19
2020-07-02,87.19
2020-07-03,87.19
2020-07-04,87.19
2020-07-05,87.19
2020-07-06,87.19
2020-07-07,87.19
2020-07-08,87.19
2020-07-09,87.19
2020-07-10,87.19
2020-07-11,87.19
2020-07-12,87.19
2020-07-13,87.19
2020-07-14,87.19
2020-07-15,87.19
2020-07-16,87.19
2020-07-17,87.19
2020-07-18,87.19
2020-07-19,87.19
2020-07-20,87.19
2020-07-21,87.19
2020-07-22,87.19
2020-07-23,87.19
2020-07-24,87.19
2020-07-25,87.19
2020-07-26,87.19
2020-07-27,87.19
2020-07-28,87.19
2020-07-29,87.19
2020-07-30,87.19
2020-07-31,87.19
2020-08-01,87.19
2020-08-02,87.19
2020-08-03,87.19
2020-08-04,87.19
2020-08-05,87.19
2020-08-06,87.19
2020-08-07,87.19
2020-08-08,87.19
2020-08-09,87.19
2020-08-10,87.19
2020-08-11,87.19
2020-08-12,87.19
2020-08-13,87.19
2020-08-14,87.19
2020-08-15,87.19
2020-08-16,87.31
2020-08-17,87.45
2020-08-18,87.58
2020-08-19,87.58
2020-08-20,87.68
2020-08-21,87.87
2020-08-22,88.02
2020-08-23,88.16
2020-08-24,88.28
2020-08-25,88.39
2020-08-26,88.39
2020-08-27,88.48
2020-08-28,88.58
2020-08-29,88.58
2020-08-30,88.68
2020-08-31,88.68
2020-09-01,88.73
2020-09-02,88.73
2020-09-03,88.73
2020-09-04,88.73
2020-09-05,88.73
2020-09-06,88.73
2020-09-07,88.73
2020-09-08,88.73
2020-09-09,88.73
2020-09-10,88.64
2020-09-11,88.64
2020-09-12,88.51
2020-09-13,88.51
2020-09-14,88.38
2020-09-15,88.21
2020-09-16,88.21
2020-09-17,88.07
2020-09-18,87.82
2020-09-19,87.82
2020-09-20,87.82
2020-09-21,87.82
2020-09-22,87.74
2020-09-23,87.74
2020-09-24,87.74
2020-09-25,87.74
2020-09-26,87.74
2020-09-27,87.74
2020-09-28,87.74
2020-09-29,87.74
2020-09-30,87.74
2020-10-01,87.74
2020-10-02,87.74
2020-10-03,87.74
2020-10-04,87.74
2020-10-05,87.74
2020-10-06,87.74
2020-10-07,87.74
2020-10-08,87.74
2020-10-09,87.74
2020-10-10,87.74
2020-10-11,87.74
2020-10-12,87.74
2020-10-13,87.74
2020-10-14,87.74
2020-10-15,87.74
2020-10-16,87.74
2020-10-17,87.74
2020-10-18,87.74
2020-10-19,87.74
2020-10-20,87.74
2020-10-21,87.74
2020-10-22,87.74
2020-10-23,87.74
2020-10-24,87.74
2020-10-25,87.74
2020-10-26,87.74
2020-10-27,87.74
2020-10-28,87.74
2020-10-29,87.74
2020-10-30,87.74
2020-10-31,87.74
2020-11-01,87.74
2020-11-02,87.74
2020-11-03,87.74
2020-11-04,87.74
2020-11-05,87.74
2020-11-06,87.74
2020-11-07,87.74
2020-11-08,87.74
2020-11-09,87.74
2020-11-10,87.74
2020-11-11,87.74
2020-11-12,87.74
2020-11-13,87.74
2020-11-14,87.74
2020-11-15,87.74
2020-11-16,87.74
2020-11-17,87.74
2020-11-18,87.74
2020-11-19,87.74
2020-11-20,87.92
2020-11-21,88.09
2020-11-22,88.16
2020-11-23,88.23
2020-11-24,88.29
2020-11-25,88.29
2020-11-26,88.4
2020-11-27,88.58
